Unique_ID,Neutro4,Thrombo4,Anemia4,Lympho4,GINONV_34,ALLERGY_34,AUDITORY_34,CARDIO_34,COAGULATION_34,CONSTITUTIONAL_34,EPIDERMAL_34,ENDOCRINE_34,INFECTION_34,METABOLIC_34,HEMORRHAGE_34,LYMPHATICS_34,MUSCLE_34,NEUROLOGICAL_34,OCULAR_34,PAIN_34,PULMONARY_34,RENAL_34,VASCULAR_34,OTHER_34,NO_DLT,DLT_PROP
MAKAS0507_T,0.16,0.0,0.0,0.026126938137960118,0.027999999999999997,0.002203516925731827,0.009028071383960824,0.0,0.0,0.0,0.01,0.0,0.055999999999999994,0.01,0.022525030110349717,0.0,0.01093584560750948,0.0,0.0070057139440560185,0.0,0.023103370647709363,0.01,0.0,0.06424905160471125,0.6319963173000934,0.3680036826999066
MOEHL0611_T,0.0,0.0,0.0,0.0,0.146,0.06,0.0,0.051609547327215274,0.026861192449287523,0.042,0.08,0.0,0.083,0.05866963549505418,0.02723379139716517,0.010894937498489639,0.03123982736380052,0.04870139412073318,0.02252618746488857,0.02918076166238487,0.00571700274378123,0.011134206830915927,0.07020206518302044,0.11767978874658233,0.38256227672058374,0.6174377232794163
MURAO0106_T,0.057774856672079114,0.0,0.0,0.008653132970351132,0.135,0.004828113538467588,0.019275550928670924,0.0012628192991284704,0.0,0.0,0.06467728892753685,0.0,0.22,0.0236853195065869,0.027000000000000003,0.0,0.001497822507941577,0.0,0.0020240680362067177,0.0,0.034676108593848204,0.004142895304896699,0.0,0.11730713181033428,0.46153036467703085,0.5384696353229692
OHM0507_T,0.073,0.018000000000000002,0.018000000000000002,0.010876796285690436,0.09616020032807476,0.0017321429517782178,0.0027613693073802884,0.026164378353668458,0.01829336285031283,0.054000000000000006,0.055,0.0,0.036000000000000004,0.036000000000000004,0.02367416259535683,0.009120803573956244,0.012198405458657025,0.0,0.005268607709782912,0.017815991614103216,0.018000000000000002,0.0,0.015459114598684057,0.0881605179941041,0.5200949942307315,0.47990500576926853
PARK0304_T,0.1,0.0,0.0,0.006472825657840234,0.049,0.11708976320002254,0.014563977965545778,0.04672703527419138,0.03437880226512372,0.049,0.5,0.0,0.07,0.13513592906750344,0.02090745308427352,0.004402349635525351,0.00740500796218355,0.0,0.016315901106902394,0.06143037863474579,0.12602922162205654,0.001869967167573039,0.013891108503793798,0.10987806321140786,0.17816131161804863,0.8218386883819514
PARK0406_T,0.23399999999999999,0.0,0.0,0.0219606389245722,0.192,0.0,0.011426912211407347,0.010341676392293345,0.0,0.021,0.00043942019055218107,0.0,0.149,0.0,0.017011498920795693,0.0,0.0,0.0,0.0,0.0,0.021,0.019791458518280736,0.058601388341008975,0.10332319728244296,0.3927091324536519,0.6072908675463481
PARK0308_T,0.11800000000000001,0.0,0.0,0.010781684073236186,0.059000000000000004,0.004372936584704272,0.019974444129343138,0.031041562105920364,0.0,0.098,0.02,0.0,0.196,0.039,0.019316106140010145,0.0,0.010070733749917817,0.02,0.0,0.0456253694940813,0.039,0.0,0.035397075153277696,0.09083774225925847,0.4056889506697907,0.5943110493302093
PARK0411_T,0.18,0.07,0.02,0.033091342328067874,0.159,0.0016818825135359802,0.013340904683011587,0.034390127632251244,0.0,0.045,0.0,0.0,0.159,0.0,0.022201166590339175,0.03788972293482829,0.02105622486545612,0.0,0.016896503264162158,0.18,0.02274296351258409,0.01408698775356021,0.17707332977076345,0.12211054247245595,0.23990265223172233,0.7600973477682776
RAO0510_T1,0.14175264098326404,0.0,0.00736247048035313,0.011068299407210111,0.09,0.02079310675976278,0.0,0.03,0.03201523034885891,0.2,0.06,0.0,0.03,0.06,0.029396188207911934,0.0,0.04931320910189205,0.06,0.021235797450177046,0.03,0.03,0.0037520881881909496,0.09,0.0980154568811478,0.31570377115534387,0.6842962288446561
ROSAE0607_T,0.11,0.0,0.0,0.012708393448490354,0.107,0.013264828608639416,0.0044292251160776884,0.04051822377194671,0.01111272835421305,0.071,0.071,0.0,0.071,0.04284137015773946,0.02455151734487599,0.0022679364563435583,0.018842033737541907,0.0,0.011187679964970863,0.039956182023479586,0.02887982189656725,0.012053703799741189,0.04838141222671197,0.10151486294713663,0.4173654467741423,0.5826345532258577
SATO0910_T,0.516,0.065,0.032,0.05085872422904717,0.355,0.03034889855240249,0.01412331854501013,0.09463911970989007,0.06827516339893042,0.09699999999999999,0.050595236839433816,0.0,0.161,0.032,0.02665402892118039,0.07824113118871823,0.015912643686046387,0.04771114031455362,0.004084561019334176,0.05107077246395447,0.0,0.0,0.03642394004170077,0.21866342932464766,0.09007706450385801,0.909922935496142
